"","...1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","rank","Y"
"151","si:dkey-247m21.3",37.6285379867049,-0.540592511974657,0.351966554584272,-1.53592011778841,0.124557973401578,0.388219445910476,"ENSDARG00000018491",1.08298402164673,"373868"
"152","tnksa",435.487712332626,0.443710682778889,0.13577487840716,3.26798806954771,0.00108314931373472,0.0168453145179303,"ENSDARG00000015567",7.82788244998204,"30766"
"153","eri1",12.1519585640965,-1.13962292400491,0.543567106093833,-2.09656344401418,0.0360322381657921,0.187428969931337,"ENSDARG00000037350",2.32334123664572,"550590"
"154","mfhas1",185.492648097904,-0.567624053306151,0.219643972437539,-2.58429151051513,0.00975792805810807,0.0809598954178595,"ENSDARG00000076297",3.62967519022193,"557377"
"155","stom",28.7314815640701,-0.296057994036573,0.378124902779684,-0.782963491323058,0.433648551405703,0.721950004483624,"ENSDARG00000028539",-0.164479137673945,"497642"
"156","snx9b",106.647829204138,-0.0156808739636719,0.212361607452519,-0.0738404373171734,0.941137350507213,0.979158786819125,"ENSDARG00000011597",-0.939333812233627,"559639"
"157","pomcb",28.1683767938879,-0.900046804851974,0.374241801346891,-2.40498736809388,0.0161730248082346,0.112970888717634,"ENSDARG00000007788",3.12441055991662,"571843"
"158","efr3bb",802.642169522644,-0.0367462526144901,0.0855880241641291,-0.429338718510701,0.667676743696278,0.868387060037946,"ENSDARG00000040177",-0.596048860806735,"327379"
"159","stxbp6l",369.394093845411,1.08170154934357,0.224515050631447,4.81794670914619,1.45043095093071e-06,9.34271778575335e-05,"ENSDARG00000074548",14.4436498381508,"436839"
"160","psmc6",46.9911386696704,0.91820910662381,0.358103351783781,2.56408967425196,0.0103446813824243,0.0843263617901768,"ENSDARG00000095696",5.5712827674446,"100034631"
"161","pik3c2a",193.564112207512,0.133822237821458,0.153262308818854,0.873158174718787,0.382576868654999,0.68394652808605,"ENSDARG00000092233",1.96082568210215,"442932"
"162","rcn2",29.1931189474094,0.185691302601322,0.360754212570186,0.514730794904288,0.606741151089764,0.836859165516919,"ENSDARG00000069708",1.49965301859424,"798934"
"163","tspan3a",180.247339610141,0.236927707440958,0.175104767017163,1.35306257777514,0.176035639582608,0.468654867638003,"ENSDARG00000063140",2.73706880681541,"407660"
